database,genotype,region,chromosome,n_tested,n_error_tolerant,n_becomes_ambiguous,n_becomes_wrong,n_becomes_novel,pct_error_tolerant,pct_becomes_ambiguous,pct_becomes_wrong,pct_becomes_novel
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,0,0,20,99980,0.0,0.0,0.02,99.98
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,0,0,15,99985,0.0,0.0,0.015,99.985
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,3,0,22,99975,0.003,0.0,0.022,99.975
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,0,0,20,99980,0.0,0.0,0.02,99.98
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,0,0,19,99981,0.0,0.0,0.019,99.981
Col-0_CEN_Chr1,Col-0,CEN,Chr1,41001,273,0,254,40474,0.6658374185995464,0.0,0.6194970854369406,98.71466549596352
Col-0_CEN_Chr2,Col-0,CEN,Chr2,40492,360,0,346,39786,0.8890645065691989,0.0,0.8544897757581744,98.25644571767263
Col-0_CEN_Chr3,Col-0,CEN,Chr3,70558,331,0,330,69897,0.46911760537430197,0.0,0.4677003316420533,99.06318206298364
Col-0_CEN_Chr4,Col-0,CEN,Chr4,50603,347,0,346,49910,0.6857300950536529,0.0,0.683753927632749,98.63051597731359
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,405,0,482,99113,0.405,0.0,0.482,99.113
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,1,0,21,99978,0.001,0.0,0.021,99.978
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,0,0,16,99984,0.0,0.0,0.016,99.984
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,0,0,23,99977,0.0,0.0,0.023,99.977
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,1,0,23,99976,0.001,0.0,0.023,99.976
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,1,0,19,99980,0.001,0.0,0.019,99.98
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,37350,420,0,327,36603,1.1244979919678715,0.0,0.8755020080321285,98.0
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,28136,154,0,237,27745,0.5473414842195052,0.0,0.842337219220927,98.61032129655956
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,328,0,332,99340,0.328,0.0,0.332,99.34
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,57417,258,0,349,56810,0.4493442708605465,0.0,0.6078339167842277,98.94282181235522
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,96822,414,0,405,96003,0.42758877114705335,0.0,0.4182933630786392,99.15411786577431
