database,genotype,region,chromosome,n_tested,n_error_tolerant,n_becomes_ambiguous,n_becomes_wrong,n_becomes_novel,pct_error_tolerant,pct_becomes_ambiguous,pct_becomes_wrong,pct_becomes_novel
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,2,0,27,99971,0.002,0.0,0.027,99.971
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,1,0,23,99976,0.001,0.0,0.023,99.976
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,1,0,19,99980,0.001,0.0,0.019,99.98
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,1,0,27,99972,0.001,0.0,0.027,99.972
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,0,0,27,99973,0.0,0.0,0.027,99.973
Col-0_CEN_Chr1,Col-0,CEN,Chr1,28470,196,0,219,28055,0.688443976115209,0.0,0.7692307692307693,98.54232525465402
Col-0_CEN_Chr2,Col-0,CEN,Chr2,27583,245,0,300,27038,0.8882282565348222,0.0,1.0876264365732515,98.02414530689192
Col-0_CEN_Chr3,Col-0,CEN,Chr3,53391,255,0,301,52835,0.47760858571669385,0.0,0.5637654286302934,98.95862598565301
Col-0_CEN_Chr4,Col-0,CEN,Chr4,34321,259,0,305,33757,0.7546400163165409,0.0,0.8886687450831853,98.35669123860028
Col-0_CEN_Chr5,Col-0,CEN,Chr5,88250,416,0,498,87336,0.47138810198300285,0.0,0.5643059490084986,98.9643059490085
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,4,0,25,99971,0.004,0.0,0.025,99.971
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,2,0,42,99956,0.002,0.0,0.042,99.956
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,0,0,37,99963,0.0,0.0,0.037,99.963
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,3,0,47,99950,0.003,0.0,0.047,99.95
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,0,0,27,99973,0.0,0.0,0.027,99.973
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,24956,260,0,247,24449,1.0418336271838435,0.0,0.9897419458246514,97.9684244269915
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,19362,125,0,193,19044,0.6455944633818821,0.0,0.9967978514616259,98.3576076851565
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,503,0,338,99159,0.503,0.0,0.338,99.159
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,40321,201,0,315,39805,0.49849954118201434,0.0,0.7812306242404702,98.72026983457752
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,75901,323,0,365,75213,0.4255543405225228,0.0,0.48088957984743286,99.09355607963005
