database,genotype,region,chromosome,n_tested,n_had_errors,pct_kmers_with_errors,mean_errors_per_kmer,pct_error_tolerant,pct_becomes_novel,pct_wrong_db,pct_ambiguous
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,29556,29.555999999999997,0.34807,0.013533631073216944,99.63120855325484,0.3552578156719448,0.0
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,29859,29.859,0.35292,0.02344351786730969,99.66844167587662,0.3081148062560702,0.0
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,29601,29.601,0.3493,0.0675652849565893,99.52366474105605,0.4087699739873653,0.0
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,29339,29.339,0.34619,0.017042162309553837,99.62507242918981,0.35788540850063055,0.0
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,29438,29.438,0.34777,0.010190909708539982,99.64671513010394,0.34309396018751276,0.0
Col-0_CEN_Chr1,Col-0,CEN,Chr1,79133,23419,29.594480178939254,0.34831233492980174,0.5807250523079551,98.85136000683205,0.5679149408599855,0.0
Col-0_CEN_Chr2,Col-0,CEN,Chr2,82887,24547,29.615018036604052,0.35003076477614103,0.6966228052307818,98.76563327494195,0.5377439198272702,0.0
Col-0_CEN_Chr3,Col-0,CEN,Chr3,100000,29609,29.609,0.34896,0.43905569252592114,99.04083217940492,0.5201121280691681,0.0
Col-0_CEN_Chr4,Col-0,CEN,Chr4,100000,29557,29.557,0.34865,0.46689447508204485,99.04929458334743,0.48381094157052473,0.0
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,29330,29.330000000000002,0.34601,0.3784520968291851,99.1783157176952,0.4432321854756222,0.0
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,29753,29.753,0.3499,0.020166033677276242,99.66053843309919,0.3192955332235405,0.0
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,29640,29.64,0.34934,0.0,99.6727395411606,0.3272604588394062,0.0
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,29596,29.596,0.34934,0.03378834977699689,99.63508582240843,0.33112582781456956,0.0
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,29627,29.627,0.34833,0.03375299557835758,99.65571944510076,0.3105275593208897,0.0
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,29704,29.704000000000004,0.35146,0.013466199838405602,99.60274710476703,0.3837866953945597,0.0
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,77410,22885,29.563363906472034,0.34883090040046505,0.7734323792877431,98.76775180249071,0.4588158182215425,0.0
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,56193,16596,29.533927713416265,0.34863773067819837,0.5724270908652687,98.87924801156906,0.5483248975656785,0.0
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,29659,29.659000000000002,0.35115,0.45854546680602853,99.20091709093361,0.3405374422603594,0.0
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,100000,29815,29.815,0.35161,0.37229582424953883,99.17155794063392,0.45614623511655206,0.0
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,100000,29702,29.702,0.35106,0.34341121809979125,99.17177294458286,0.48481583731735234,0.0
