database,genotype,region,chromosome,n_tested,n_error_tolerant,n_becomes_ambiguous,n_becomes_wrong,n_becomes_novel,pct_error_tolerant,pct_becomes_ambiguous,pct_becomes_wrong,pct_becomes_novel
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Col-0_CEN_Chr1,Col-0,CEN,Chr1,5000,5,0,5,4990,0.1,0.0,0.1,99.8
Col-0_CEN_Chr2,Col-0,CEN,Chr2,5000,9,0,4,4987,0.18,0.0,0.08,99.74
Col-0_CEN_Chr3,Col-0,CEN,Chr3,5000,1,0,0,4999,0.02,0.0,0.0,99.98
Col-0_CEN_Chr4,Col-0,CEN,Chr4,5000,5,0,1,4994,0.1,0.0,0.02,99.88
Col-0_CEN_Chr5,Col-0,CEN,Chr5,5000,2,0,4,4994,0.04,0.0,0.08,99.88
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,5000,1,0,0,4999,0.02,0.0,0.0,99.98
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,5000,0,0,0,5000,0.0,0.0,0.0,100.0
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,5000,2,0,2,4996,0.04,0.0,0.04,99.92
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,5000,4,0,4,4992,0.08,0.0,0.08,99.84
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,5000,1,0,2,4997,0.02,0.0,0.04,99.94
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,5000,3,0,1,4996,0.06,0.0,0.02,99.92
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,5000,1,0,1,4998,0.02,0.0,0.02,99.96
