database,genotype,region,chromosome,n_tested,n_error_tolerant,n_becomes_ambiguous,n_becomes_wrong,n_becomes_novel,pct_error_tolerant,pct_becomes_ambiguous,pct_becomes_wrong,pct_becomes_novel
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,2,0,11,99987,0.002,0.0,0.011,99.987
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,0,0,8,99992,0.0,0.0,0.008,99.992
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,1,0,7,99992,0.001,0.0,0.007,99.992
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,1,0,18,99981,0.001,0.0,0.018,99.981
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,0,0,10,99990,0.0,0.0,0.01,99.99
Col-0_CEN_Chr1,Col-0,CEN,Chr1,62888,402,0,243,62243,0.6392316499173133,0.0,0.3864012212186745,98.97436712886402
Col-0_CEN_Chr2,Col-0,CEN,Chr2,64442,517,0,344,63581,0.8022718103100462,0.0,0.5338133515409205,98.66391483814904
Col-0_CEN_Chr3,Col-0,CEN,Chr3,99010,467,0,301,98242,0.47166952833047165,0.0,0.30400969599030403,99.22432077567922
Col-0_CEN_Chr4,Col-0,CEN,Chr4,79497,491,0,377,78629,0.6176333698126973,0.0,0.4742317320150446,98.90813489817226
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,275,0,349,99376,0.275,0.0,0.349,99.376
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,3,0,12,99985,0.003,0.0,0.012,99.985
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,1,0,14,99985,0.001,0.0,0.014,99.985
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,1,0,12,99987,0.001,0.0,0.012,99.987
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,1,0,16,99983,0.001,0.0,0.016,99.983
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,0,0,18,99982,0.0,0.0,0.018,99.982
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,59982,574,0,317,59091,0.9569537527925044,0.0,0.5284918808976026,98.5145543663099
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,43973,241,0,248,43484,0.5480635844722899,0.0,0.5639824437723149,98.8879539717554
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,246,0,220,99534,0.246,0.0,0.22,99.534
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,87310,364,0,379,86567,0.416905280036651,0.0,0.434085442675524,99.14900927728783
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,100000,310,0,311,99379,0.31,0.0,0.311,99.379
