database,genotype,region,chromosome,n_tested,n_had_errors,pct_kmers_with_errors,mean_errors_per_kmer,pct_error_tolerant,pct_becomes_novel,pct_wrong_db,pct_ambiguous
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,26711,26.711000000000002,0.30935,0.026206431807120664,99.50582157163716,0.46797199655572613,0.0
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,26810,26.810000000000002,0.31076,0.014919806042521447,99.57478552778814,0.41029466616933974,0.0
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,26816,26.816000000000003,0.3099,0.05593675417661098,99.57860978520287,0.3654534606205251,0.0
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,26660,26.66,0.30814,0.018754688672168042,99.51237809452364,0.46886721680420107,0.0
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,26603,26.602999999999998,0.30793,0.018794872758711424,99.53012818103221,0.4510769462090742,0.0
Col-0_CEN_Chr1,Col-0,CEN,Chr1,62888,16667,26.502671415850397,0.30700610609337237,0.5399892002159957,98.7160256794864,0.7439851202975941,0.0
Col-0_CEN_Chr2,Col-0,CEN,Chr2,64442,17200,26.690667577046025,0.3073306228856957,0.6046511627906976,98.78488372093022,0.6104651162790697,0.0
Col-0_CEN_Chr3,Col-0,CEN,Chr3,99010,26571,26.836683163316838,0.3108271891728108,0.3914041624327274,98.99890858454707,0.60968725302021,0.0
Col-0_CEN_Chr4,Col-0,CEN,Chr4,79497,21137,26.588424720429703,0.3077348830773488,0.5109523584236174,98.92605383923924,0.5629938023371339,0.0
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,26840,26.840000000000003,0.30979,0.35022354694485847,99.10953800298063,0.5402384500745157,0.0
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,26529,26.529000000000003,0.30684,0.060311357382487094,99.60420671717742,0.3354819254400844,0.0
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,26786,26.785999999999998,0.30926,0.018666467557679384,99.5632046591503,0.4181288732920182,0.0
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,26726,26.726,0.30901,0.04864177205717279,99.60338247399537,0.3479757539474669,0.0
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,26708,26.708,0.30951,0.037441964954320804,99.55444061704358,0.4081174180020968,0.0
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,26719,26.718999999999998,0.31005,0.003742655039485011,99.54713874022232,0.44911860473820125,0.0
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,59982,16073,26.796372245006832,0.3086926077823347,0.8150314191501276,98.41348845890624,0.7714801219436321,0.0
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,43973,11770,26.76642485161349,0.30853023446205624,0.45029736618521665,98.89549702633815,0.6542056074766356,0.0
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,26649,26.649,0.308,0.4315358925288003,99.11816578483244,0.4502983226387482,0.0
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,87310,23478,26.89039056236399,0.31149925552628566,0.40037481897947014,99.07147116449441,0.5281540165261095,0.0
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,100000,26593,26.593,0.30901,0.3497160907005603,99.15015229571692,0.5001316135825217,0.0
