database,genotype,region,chromosome,n_tested,n_had_errors,pct_kmers_with_errors,mean_errors_per_kmer,pct_error_tolerant,pct_becomes_novel,pct_wrong_db,pct_ambiguous
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,22222,22.222,0.25049,0.013500135001350014,99.37449374493745,0.6120061200612006,0.0
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,22209,22.209,0.2499,0.03602143275248773,99.41465171777207,0.5493268494754379,0.0
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,22191,22.191,0.2498,0.05858230814294083,99.36911360461448,0.5723040872425758,0.0
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,22210,22.21,0.24988,0.0135074290859973,99.49572264745609,0.4907699234579018,0.0
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,22084,22.084,0.24778,0.018112660749864156,99.41133852562942,0.5705488136207209,0.0
Col-0_CEN_Chr1,Col-0,CEN,Chr1,41001,8933,21.787273481134605,0.2461891173386015,0.6156946154707266,98.32083286689802,1.063472517631255,0.0
Col-0_CEN_Chr2,Col-0,CEN,Chr2,40492,8966,22.14264546083177,0.24923441667489873,0.7695739460182913,98.33816640642426,0.8922596475574393,0.0
Col-0_CEN_Chr3,Col-0,CEN,Chr3,70558,15577,22.07687292723717,0.24863233084838005,0.3916030044296077,98.882968479168,0.7254285164023881,0.0
Col-0_CEN_Chr4,Col-0,CEN,Chr4,50603,11183,22.099480267968303,0.24846352983024722,0.5722972368774032,98.50666189752303,0.9210408655995708,0.0
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,22214,22.214,0.24813,0.4501665616278023,98.89709192401187,0.6527415143603132,0.0
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,22291,22.291,0.25096,0.06280561661657172,99.40783275761518,0.5293616257682473,0.0
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,21970,21.97,0.24813,0.018206645425580335,99.4401456531634,0.541647701411015,0.0
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,22285,22.285,0.25016,0.06282252636302445,99.43908458604443,0.4980928875925511,0.0
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,22118,22.118,0.24898,0.06781806673297766,99.43032823944299,0.5018536938240347,0.0
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,21987,21.987000000000002,0.24776,0.022740710419793513,99.43148223950516,0.5457770500750444,0.0
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,37350,8233,22.042838018741634,0.245809906291834,1.0810154257257378,97.82582290781004,1.0931616664642292,0.0
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,28136,6291,22.35925504691498,0.2521324992891669,0.7153075822603719,98.31505325067556,0.9696391670640597,0.0
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,22165,22.165000000000003,0.24877,0.43311527182494924,98.95781637717121,0.6090683510038348,0.0
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,57417,12652,22.035285716773778,0.24771409164533154,0.5927916534935188,98.6010116977553,0.8061966487511856,0.0
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,96822,21575,22.28315878622627,0.2508107661481895,0.35689455388180763,98.98493626882966,0.6581691772885284,0.0
