database,genotype,region,chromosome,n_tested,n_had_errors,pct_kmers_with_errors,mean_errors_per_kmer,pct_error_tolerant,pct_becomes_novel,pct_wrong_db,pct_ambiguous
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,19133,19.133,0.21055,0.057492290806460046,99.20033450060104,0.7421732085924843,0.0
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,18836,18.836,0.20851,0.03185389679337439,99.2514334253557,0.7167126778509237,0.0
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,19085,19.085,0.21117,0.08383547288446425,99.17736442232119,0.7388001047943411,0.0
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,19057,19.057,0.20967,0.031484493886760764,99.2811040562523,0.6874114498609435,0.0
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,19099,19.099,0.21039,0.02094350489554427,99.07848578459605,0.9005707105084035,0.0
Col-0_CEN_Chr1,Col-0,CEN,Chr1,28470,5380,18.897084650509306,0.20885142255005268,0.724907063197026,98.23420074349443,1.0408921933085502,0.0
Col-0_CEN_Chr2,Col-0,CEN,Chr2,27583,5180,18.779683138164813,0.2070840735235471,0.9266409266409266,97.99227799227799,1.0810810810810811,0.0
Col-0_CEN_Chr3,Col-0,CEN,Chr3,53391,9927,18.593021295724,0.20597104380888165,0.4936033041200765,98.61992545582754,0.8864712400523824,0.0
Col-0_CEN_Chr4,Col-0,CEN,Chr4,34321,6489,18.90679176014685,0.20789021298913202,0.6934812760055479,98.19694868238558,1.1095700416088765,0.0
Col-0_CEN_Chr5,Col-0,CEN,Chr5,88250,16749,18.97903682719547,0.20960906515580738,0.40002388202280736,98.55513762015643,1.0448384978207654,0.0
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,18838,18.838,0.20843,0.11147680220830238,99.27805499522242,0.6104682025692748,0.0
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,18948,18.948,0.20808,0.036943213004010975,99.24002533248891,0.7230314545070721,0.0
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,19098,19.098000000000003,0.21061,0.05236150382238977,99.29835584877998,0.6492826473976332,0.0
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,18923,18.923000000000002,0.20934,0.07926861491306875,99.13861438461133,0.7821170004756116,0.0
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,18919,18.919,0.20886,0.026428458163750723,99.27586024631323,0.6977112955230191,0.0
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,24956,4772,19.121654111235774,0.2100897579740343,0.901089689857502,97.79966471081308,1.2992455993294216,0.0
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,19362,3726,19.24387976448714,0.21258134490238612,0.4294149221685454,98.47020933977456,1.1003757380568975,0.0
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,18996,18.996,0.20958,0.5685407454200885,98.7260475889661,0.7054116656138134,0.0
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,40321,7691,19.07442771756653,0.21013863743458744,0.4680795735274997,98.5957612794175,0.9361591470549994,0.0
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,75901,14156,18.650610663891122,0.2057285147758264,0.37439954789488555,98.91918621079401,0.7064142413111049,0.0
